TransactionAmount,TransactionTime,TransactionType,MerchantCategory,TransactionLocation,DeviceType,TransactionFrequency,SpendingPattern,CardPresent,PastFraudHistory,Velocity,DistanceFromLast,AmountRatio,AccountAge,IsFraud
18.7,4.0,Online,Clothing,Local,Mobile,4.0,High,Yes,0.0,4.0,896.0,0.2,114.0,0
6.73,1.0,POS,Travel,Domestic,Tablet,13.0,Medium,Yes,0.0,4.0,1185.6,0.05,213.0,0
297.37,9.0,POS,Electronics,Domestic,Tablet,7.0,Low,Yes,0.0,5.0,2133.5,10.25,126.0,0
337.06,0.0,POS,Electronics,Local,POS_Terminal,1.0,Low,No,0.0,2.0,1472.5,2.92,152.0,0
165.23,6.0,ATM,Others,Local,POS_Terminal,9.0,Low,Yes,0.0,2.0,3795.2,1.56,65.0,0
36.33,16.0,Online,Groceries,Local,Desktop,4.0,Medium,Yes,0.0,3.0,1690.8,0.19,208.0,0
10.28,15.0,Online,Groceries,Domestic,Tablet,14.0,Low,No,0.0,1.0,4929.2,0.07,116.0,0
115.28,23.0,Online,Electronics,Domestic,Desktop,9.0,Low,No,0.0,4.0,4293.9,2.41,88.0,0
58.01,2.0,Online,Travel,Domestic,Desktop,3.0,Medium,Yes,0.0,1.0,4476.7,0.52,10.0,0
13.02,13.0,ATM,Clothing,Domestic,Mobile,15.0,Low,Yes,0.0,4.0,318.3,0.08,224.0,0
68.35,9.0,Online,Electronics,Domestic,Mobile,5.0,Low,Yes,0.0,3.0,881.5,0.6,92.0,0
3.5,21.0,Online,Others,Domestic,Mobile,1.0,Low,Yes,0.0,2.0,846.8,0.04,50.0,0
240.04,6.0,Online,Travel,Local,POS_Terminal,11.0,Low,Yes,0.0,3.0,3359.8,2.73,97.0,0
29.95,16.0,POS,Groceries,Local,Mobile,19.0,Low,Yes,0.0,4.0,59.6,0.35,63.0,0
108.63,5.0,Online,Travel,Local,Mobile,5.0,Low,Yes,0.0,2.0,4032.1,4.6,230.0,0
37.35,22.0,POS,Groceries,Local,Mobile,17.0,Medium,Yes,0.0,1.0,2735.2,0.25,86.0,0
73.41,21.0,POS,Clothing,Domestic,Desktop,19.0,Low,Yes,0.0,1.0,2831.6,0.56,193.0,0
79.12,3.0,Online,Groceries,International,POS_Terminal,17.0,Low,Yes,0.0,5.0,2686.7,1.16,99.0,0
20.44,16.0,Online,Clothing,Local,Desktop,5.0,Medium,Yes,0.0,1.0,2676.7,0.15,58.0,0
349.28,8.0,ATM,Electronics,International,Mobile,9.0,Medium,Yes,0.0,5.0,989.4,4.62,237.0,0
149.22,3.0,POS,Others,Local,POS_Terminal,6.0,Low,Yes,0.0,2.0,1415.9,2.34,204.0,0
280.51,6.0,POS,Electronics,Local,Mobile,13.0,Low,Yes,0.0,3.0,2438.1,1.83,46.0,0
225.22,22.0,POS,Clothing,Domestic,POS_Terminal,11.0,Low,No,0.0,3.0,3389.2,1.36,89.0,0
91.11,1.0,POS,Groceries,Local,Mobile,1.0,High,No,0.0,2.0,1359.8,0.69,28.0,0
254.94,16.0,POS,Others,Local,Tablet,17.0,Medium,Yes,0.0,2.0,4030.7,1.58,120.0,0
9.27,23.0,POS,Travel,Local,Mobile,6.0,Low,Yes,0.0,4.0,4053.0,0.11,209.0,0
21.81,7.0,POS,Groceries,International,POS_Terminal,3.0,Low,Yes,0.0,1.0,1369.4,0.66,208.0,0
4.63,22.0,POS,Others,Domestic,Mobile,16.0,Medium,Yes,0.0,1.0,2800.3,0.04,224.0,0
39.35,14.0,POS,Electronics,Local,Mobile,13.0,Low,No,1.0,1.0,1744.6,0.6,59.0,0
49.21,14.0,Online,Clothing,Local,Tablet,12.0,Medium,Yes,0.0,5.0,953.4,0.31,237.0,0
31.66,7.0,POS,Travel,International,Mobile,11.0,High,No,0.0,1.0,4030.0,0.37,4.0,0
176.46,15.0,Online,Groceries,Local,Tablet,2.0,Low,Yes,0.0,4.0,4957.4,1.25,111.0,0
44.12,18.0,Online,Others,International,Tablet,19.0,Low,Yes,0.0,3.0,2828.6,0.37,124.0,0
32.98,10.0,POS,Electronics,Local,Desktop,8.0,Low,Yes,0.0,3.0,4569.7,0.2,169.0,0
78.24,1.0,ATM,Groceries,Domestic,Mobile,13.0,Low,Yes,0.0,5.0,3210.8,0.46,113.0,0
15.19,22.0,Online,Others,Domestic,POS_Terminal,14.0,Medium,No,0.0,4.0,2828.6,0.47,60.0,0
162.05,23.0,Online,Travel,Local,Tablet,15.0,Low,No,0.0,2.0,2400.7,2.22,62.0,0
7.75,16.0,POS,Groceries,Domestic,Desktop,17.0,Low,Yes,0.0,3.0,1178.6,0.04,11.0,0
433.41,15.0,Online,Groceries,Local,Mobile,15.0,Medium,Yes,0.0,4.0,421.3,4.67,20.0,0
147.95,14.0,Online,Travel,Domestic,Mobile,10.0,High,Yes,0.0,2.0,2211.7,1.31,218.0,0
22.15,12.0,POS,Groceries,Domestic,Mobile,1.0,Low,Yes,0.0,5.0,2806.5,0.42,135.0,0
0.55,14.0,POS,Others,Local,Desktop,12.0,Low,Yes,0.0,1.0,2547.2,0.0,95.0,0
168.99,3.0,POS,Travel,Domestic,Tablet,9.0,Low,Yes,0.0,4.0,3477.9,2.5,62.0,0
122.71,15.0,Online,Electronics,Local,Tablet,5.0,Medium,No,1.0,3.0,960.5,0.72,135.0,0
130.57,11.0,POS,Electronics,Local,Tablet,15.0,Low,No,1.0,5.0,1771.0,2.33,119.0,0
147.52,3.0,Online,Clothing,Domestic,Desktop,3.0,Low,Yes,1.0,4.0,2077.8,1.74,64.0,0
7.69,2.0,POS,Electronics,Local,Mobile,19.0,High,Yes,0.0,5.0,932.6,0.21,186.0,0
44.39,21.0,Online,Travel,Local,Tablet,7.0,Low,No,0.0,2.0,4532.3,0.35,132.0,0
12.32,16.0,POS,Others,Local,Tablet,7.0,Low,No,0.0,4.0,3407.6,0.06,200.0,0
198.85,21.0,POS,Clothing,Local,Desktop,7.0,High,Yes,0.0,1.0,459.3,3.89,142.0,0
97.63,17.0,Online,Electronics,Local,Mobile,2.0,Low,No,0.0,2.0,3564.0,4.15,86.0,0
40.18,17.0,POS,Groceries,Local,Desktop,2.0,Low,No,0.0,1.0,2738.9,0.42,151.0,0
6.57,22.0,POS,Clothing,Domestic,Mobile,12.0,Low,Yes,0.0,5.0,2619.7,0.04,89.0,0
37.25,16.0,POS,Clothing,Domestic,Mobile,5.0,Medium,No,0.0,1.0,4948.9,0.19,36.0,0
39.33,11.0,Online,Clothing,International,Desktop,4.0,High,Yes,0.0,2.0,3091.0,1.35,90.0,0
130.79,22.0,ATM,Groceries,Local,Mobile,7.0,Medium,No,0.0,2.0,4483.6,0.81,24.0,0
101.49,20.0,Online,Others,Domestic,POS_Terminal,16.0,Low,Yes,0.0,2.0,4567.7,1.18,82.0,0
218.23,23.0,POS,Electronics,Domestic,Mobile,3.0,Low,Yes,0.0,5.0,507.1,4.58,21.0,0
63.91,3.0,POS,Travel,Local,Desktop,2.0,Medium,Yes,0.0,3.0,41.8,1.17,63.0,0
12.74,11.0,Online,Travel,Domestic,Tablet,17.0,Medium,Yes,0.0,5.0,2176.3,0.07,47.0,0
124.91,22.0,Online,Clothing,Domestic,Desktop,9.0,Medium,No,0.0,2.0,3846.4,0.75,69.0,0
143.04,21.0,POS,Electronics,Local,Tablet,8.0,Medium,Yes,0.0,5.0,4121.0,1.88,15.0,0
82.39,20.0,POS,Clothing,Domestic,Tablet,12.0,High,Yes,0.0,4.0,3937.5,0.44,159.0,0
147.39,19.0,POS,Groceries,Local,POS_Terminal,7.0,Low,No,0.0,4.0,2236.4,3.78,218.0,0
68.08,14.0,Online,Travel,Local,Mobile,14.0,Low,Yes,0.0,3.0,3749.8,0.87,4.0,0
73.97,22.0,POS,Groceries,Local,Mobile,16.0,High,No,0.0,5.0,3593.9,0.54,127.0,0
55.78,15.0,Online,Electronics,Domestic,Desktop,1.0,Low,No,0.0,5.0,1569.1,0.28,132.0,0
2.57,4.0,POS,Groceries,Local,Tablet,10.0,Low,Yes,0.0,4.0,843.6,0.02,172.0,0
11.42,20.0,POS,Luxury,Local,Desktop,11.0,Medium,Yes,0.0,2.0,3107.1,0.07,114.0,0
3.19,14.0,POS,Clothing,Domestic,Mobile,7.0,Low,Yes,0.0,1.0,3385.4,0.02,189.0,0
101.17,16.0,POS,Clothing,Domestic,Mobile,18.0,Low,Yes,0.0,2.0,2839.9,4.66,191.0,0
37.74,17.0,POS,Clothing,Domestic,Mobile,19.0,High,Yes,0.0,3.0,1065.9,0.52,83.0,0
71.04,4.0,POS,Luxury,Local,Tablet,14.0,Low,Yes,0.0,1.0,1383.4,1.87,154.0,0
238.13,12.0,POS,Groceries,Domestic,Mobile,17.0,Low,Yes,0.0,2.0,3542.4,1.49,178.0,0
28.67,18.0,POS,Clothing,Local,Mobile,19.0,Low,Yes,0.0,5.0,4813.1,0.23,161.0,0
52.83,12.0,POS,Clothing,Local,Mobile,13.0,High,No,1.0,5.0,4724.2,1.42,132.0,0
140.87,17.0,ATM,Groceries,Local,Tablet,3.0,Low,Yes,0.0,4.0,2598.3,1.47,185.0,0
25.98,13.0,Online,Groceries,Domestic,Tablet,2.0,Medium,Yes,0.0,5.0,4432.8,0.23,239.0,0
8.01,3.0,Online,Groceries,Domestic,Desktop,9.0,Low,No,0.0,5.0,147.3,0.06,62.0,0
34.21,3.0,POS,Groceries,Domestic,Mobile,7.0,Low,Yes,0.0,3.0,4305.8,0.21,102.0,0
17.58,19.0,POS,Electronics,Local,Mobile,14.0,Medium,No,0.0,1.0,2380.8,0.49,88.0,0
265.5,19.0,POS,Groceries,Local,Desktop,5.0,Low,Yes,0.0,2.0,3907.6,2.46,223.0,0
165.09,18.0,Online,Clothing,Local,Desktop,15.0,Low,Yes,0.0,2.0,27.9,3.37,162.0,0
100.35,12.0,POS,Groceries,International,Desktop,1.0,Medium,No,0.0,3.0,4342.8,0.64,126.0,0
205.15,11.0,POS,Groceries,Local,POS_Terminal,7.0,Low,No,0.0,1.0,2974.9,1.48,34.0,0
162.8,6.0,Online,Others,Local,POS_Terminal,5.0,High,Yes,0.0,5.0,1201.2,1.08,130.0,0
20.65,11.0,POS,Clothing,Domestic,Mobile,4.0,Low,Yes,0.0,3.0,1737.4,0.62,43.0,0
223.08,20.0,POS,Groceries,Local,Mobile,11.0,Medium,No,0.0,5.0,1003.3,1.99,72.0,0
77.51,3.0,POS,Clothing,Domestic,Mobile,19.0,High,No,0.0,2.0,2122.0,0.45,177.0,0
164.73,1.0,Online,Groceries,Domestic,Desktop,6.0,Low,Yes,0.0,3.0,1650.0,1.11,21.0,0
226.42,1.0,Online,Groceries,Domestic,Desktop,18.0,Low,Yes,0.0,3.0,2672.5,1.29,140.0,0
38.27,4.0,POS,Groceries,Local,Tablet,5.0,Low,No,0.0,3.0,4073.9,0.67,36.0,0
11.66,22.0,POS,Others,Local,Mobile,15.0,High,Yes,0.0,2.0,4911.4,0.16,123.0,0
25.87,9.0,Online,Travel,Local,Tablet,6.0,Medium,No,0.0,2.0,1257.3,0.26,1.0,0
55.71,9.0,POS,Travel,Local,Desktop,4.0,Low,Yes,0.0,4.0,532.5,0.49,170.0,0
170.38,8.0,Online,Others,Domestic,POS_Terminal,17.0,Low,Yes,0.0,2.0,1978.3,2.61,103.0,0
197.13,12.0,Online,Others,Local,Desktop,15.0,Low,Yes,0.0,2.0,717.8,2.22,144.0,0
0.7,6.0,POS,Travel,Domestic,Tablet,18.0,Medium,Yes,0.0,5.0,4171.2,0.0,49.0,0
71.49,4.0,POS,Clothing,Local,Mobile,6.0,High,No,0.0,2.0,2505.6,0.53,6.0,0
54.03,9.0,Online,Electronics,Domestic,Tablet,19.0,Low,Yes,0.0,1.0,3099.8,1.35,124.0,0
25.12,9.0,POS,Groceries,Local,Mobile,12.0,Medium,No,0.0,5.0,753.1,0.13,225.0,0
12.77,5.0,POS,Clothing,Local,Desktop,9.0,Low,No,0.0,4.0,3748.0,0.11,235.0,0
41.19,18.0,Online,Clothing,Local,Mobile,8.0,Medium,Yes,0.0,1.0,4867.9,0.38,13.0,0
286.31,20.0,POS,Others,Domestic,Mobile,15.0,Low,Yes,0.0,4.0,2411.9,1.48,173.0,0
39.04,7.0,POS,Electronics,Local,Mobile,1.0,Medium,Yes,0.0,3.0,4812.3,0.86,9.0,0
73.15,0.0,POS,Clothing,Local,Mobile,2.0,High,Yes,0.0,3.0,173.6,0.62,227.0,0
121.41,16.0,Online,Clothing,Local,Mobile,3.0,Medium,Yes,0.0,3.0,178.6,0.74,156.0,0
45.2,6.0,POS,Groceries,Local,POS_Terminal,19.0,High,Yes,0.0,2.0,4800.1,0.49,192.0,0
356.78,13.0,ATM,Clothing,Domestic,Mobile,10.0,Low,Yes,0.0,2.0,3501.3,2.34,162.0,0
328.2,20.0,Online,Clothing,Domestic,Tablet,14.0,High,Yes,0.0,5.0,943.4,1.8,160.0,0
29.01,20.0,POS,Electronics,Local,Mobile,19.0,High,No,0.0,1.0,1819.4,0.43,119.0,0
68.77,16.0,POS,Clothing,Local,Desktop,11.0,Low,Yes,1.0,1.0,2538.8,1.08,193.0,0
35.79,8.0,POS,Groceries,Local,Mobile,6.0,Low,Yes,0.0,3.0,3513.2,0.42,103.0,0
33.52,16.0,Online,Electronics,International,Mobile,19.0,High,No,0.0,3.0,4210.1,0.35,89.0,0
3.76,4.0,Online,Clothing,Local,Mobile,14.0,Low,No,0.0,2.0,413.3,0.09,180.0,0
94.05,19.0,Online,Electronics,Domestic,Desktop,8.0,Low,Yes,0.0,4.0,3282.9,1.53,74.0,0
69.85,7.0,POS,Electronics,Domestic,Mobile,2.0,Medium,Yes,0.0,1.0,2383.6,0.39,194.0,0
5.29,5.0,Online,Groceries,Domestic,POS_Terminal,18.0,Low,No,0.0,1.0,2988.1,0.04,132.0,0
32.66,10.0,POS,Groceries,International,Desktop,4.0,Medium,Yes,0.0,4.0,2542.7,0.48,25.0,0
238.89,18.0,Online,Electronics,Local,Tablet,3.0,Low,No,0.0,1.0,2253.5,1.26,80.0,0
27.39,3.0,Online,Electronics,International,POS_Terminal,2.0,Low,Yes,0.0,1.0,1027.6,0.17,63.0,0
15.65,17.0,POS,Clothing,Domestic,Desktop,4.0,Medium,Yes,0.0,2.0,2361.7,0.18,40.0,0
67.23,0.0,POS,Others,Local,POS_Terminal,18.0,Medium,No,0.0,1.0,948.3,0.43,108.0,0
424.4,12.0,Online,Groceries,Domestic,Mobile,11.0,High,Yes,0.0,3.0,223.1,3.33,69.0,0
27.71,13.0,Online,Groceries,Domestic,Tablet,9.0,Medium,Yes,0.0,3.0,1869.1,0.19,184.0,0
111.52,23.0,POS,Electronics,Domestic,Mobile,8.0,Low,Yes,0.0,5.0,124.8,1.43,151.0,0
143.39,0.0,POS,Electronics,Local,Desktop,8.0,Medium,No,0.0,2.0,2812.7,2.48,84.0,0
27.13,10.0,Online,Clothing,Domestic,Desktop,5.0,Medium,No,0.0,2.0,362.0,0.41,131.0,0
130.27,16.0,POS,Luxury,Local,POS_Terminal,13.0,High,No,0.0,3.0,2187.8,3.71,128.0,0
45.85,3.0,POS,Luxury,Domestic,POS_Terminal,7.0,Medium,Yes,0.0,2.0,4900.7,0.44,65.0,0
100.05,11.0,POS,Groceries,International,Mobile,5.0,Medium,Yes,0.0,2.0,49.4,1.07,238.0,0
100.38,9.0,POS,Others,Domestic,Mobile,13.0,Low,No,0.0,5.0,1834.3,4.91,126.0,0
76.74,5.0,Online,Groceries,Local,Tablet,16.0,High,Yes,0.0,4.0,3366.3,0.44,51.0,0
9.46,0.0,ATM,Clothing,Domestic,Tablet,14.0,Medium,Yes,0.0,1.0,794.6,0.07,25.0,0
180.36,6.0,Online,Clothing,Local,Mobile,5.0,Low,Yes,0.0,5.0,2803.7,1.8,208.0,0
38.68,20.0,POS,Clothing,Domestic,Desktop,19.0,Medium,No,0.0,4.0,1291.0,0.2,41.0,0
20.64,15.0,Online,Groceries,Domestic,Tablet,4.0,Medium,Yes,0.0,1.0,1113.8,0.11,5.0,0
4.16,23.0,POS,Electronics,Local,Tablet,11.0,Low,Yes,0.0,3.0,4474.9,0.11,228.0,0
89.38,13.0,POS,Clothing,Local,Desktop,2.0,Medium,No,0.0,4.0,1016.4,0.68,192.0,0
113.19,22.0,ATM,Groceries,Domestic,Tablet,13.0,Low,Yes,0.0,1.0,1882.8,0.68,134.0,0
1.67,19.0,POS,Groceries,Local,Desktop,16.0,Medium,Yes,0.0,5.0,848.0,0.03,76.0,0
71.76,19.0,ATM,Clothing,Domestic,POS_Terminal,9.0,Low,No,0.0,1.0,1419.4,1.67,46.0,0
25.68,5.0,POS,Electronics,Local,Desktop,16.0,Low,Yes,0.0,2.0,1465.5,0.38,,0
103.61,21.0,Online,Clothing,Local,Desktop,7.0,Low,Yes,0.0,1.0,1633.9,1.47,110.0,0
19.16,4.0,POS,Groceries,Domestic,Tablet,16.0,Low,Yes,0.0,3.0,3205.3,0.1,166.0,0
117.42,23.0,POS,Luxury,Domestic,Mobile,13.0,Low,Yes,0.0,5.0,3713.0,0.73,133.0,0
48.9,20.0,POS,Groceries,Local,POS_Terminal,5.0,High,Yes,0.0,4.0,2553.3,1.59,61.0,0
276.03,17.0,Online,Others,Domestic,Desktop,15.0,Low,Yes,0.0,1.0,3052.4,1.71,130.0,0
14.79,14.0,Online,Electronics,Local,POS_Terminal,7.0,High,Yes,0.0,5.0,4066.3,0.29,3.0,0
41.71,5.0,Online,Clothing,Domestic,Mobile,18.0,Medium,Yes,0.0,3.0,4997.8,0.49,233.0,0
12.04,18.0,Online,Others,Local,Desktop,2.0,High,No,0.0,4.0,2282.5,0.16,135.0,0
258.62,0.0,Online,Groceries,Local,Tablet,8.0,Low,No,0.0,1.0,4682.2,3.75,90.0,0
209.83,0.0,POS,Groceries,Local,Tablet,10.0,Low,No,0.0,3.0,2451.9,2.78,204.0,0
29.83,12.0,POS,Electronics,Local,Mobile,10.0,Medium,Yes,0.0,2.0,3910.0,0.19,178.0,0
107.88,2.0,Online,Groceries,Local,Mobile,11.0,Medium,Yes,0.0,5.0,2866.1,1.59,188.0,0
169.95,9.0,Online,Clothing,Local,Desktop,8.0,Low,No,0.0,5.0,4420.2,1.04,237.0,0
81.01,20.0,Online,Groceries,International,Desktop,16.0,Low,Yes,0.0,1.0,2243.5,2.23,193.0,0
75.43,2.0,POS,Others,Local,Tablet,16.0,Low,No,0.0,3.0,3479.1,0.59,193.0,0
27.69,8.0,POS,Clothing,Local,Mobile,17.0,Low,Yes,0.0,4.0,2331.6,0.16,97.0,0
9.77,7.0,ATM,Groceries,Domestic,Tablet,6.0,Low,Yes,0.0,4.0,4285.1,0.29,62.0,0
227.51,2.0,Online,Luxury,Local,Desktop,18.0,Medium,Yes,0.0,4.0,4971.8,1.69,54.0,0
230.68,12.0,POS,Electronics,Local,Mobile,17.0,Medium,Yes,0.0,4.0,1216.6,2.06,231.0,0
100.27,5.0,Online,Electronics,Local,Mobile,12.0,High,Yes,1.0,1.0,2371.7,1.26,53.0,0
41.4,12.0,ATM,Electronics,Local,Desktop,15.0,Low,Yes,0.0,1.0,406.3,1.09,9.0,0
42.96,22.0,POS,Clothing,Local,Desktop,7.0,Medium,Yes,0.0,5.0,705.0,0.3,129.0,0
129.45,19.0,Online,Electronics,Local,Desktop,14.0,Low,No,0.0,3.0,4645.8,1.71,143.0,0
227.41,19.0,ATM,Clothing,Domestic,Tablet,4.0,Low,Yes,0.0,2.0,2718.1,2.81,89.0,0
218.11,11.0,ATM,Groceries,Local,Mobile,17.0,Medium,No,0.0,1.0,1975.6,1.46,108.0,0
151.36,12.0,ATM,Others,Local,POS_Terminal,11.0,Medium,Yes,0.0,4.0,3357.4,0.8,36.0,0
102.73,1.0,Online,Travel,Local,POS_Terminal,6.0,High,Yes,0.0,2.0,2800.8,1.28,138.0,0
8.79,20.0,POS,Groceries,Local,Mobile,10.0,Medium,No,0.0,5.0,1443.6,0.06,119.0,0
17.63,23.0,POS,Travel,Local,Tablet,15.0,Low,No,0.0,4.0,1133.1,0.09,50.0,0
228.82,22.0,POS,Clothing,Domestic,Desktop,6.0,Low,Yes,0.0,3.0,2951.2,6.08,159.0,0
93.25,15.0,POS,Groceries,International,Desktop,16.0,Medium,Yes,0.0,2.0,941.3,0.81,212.0,0
0.92,22.0,POS,Groceries,Domestic,Desktop,12.0,Medium,Yes,0.0,5.0,695.9,0.04,69.0,0
10.7,5.0,POS,Groceries,Local,Tablet,19.0,Low,Yes,0.0,1.0,1591.9,0.06,220.0,0
108.92,18.0,POS,Luxury,International,POS_Terminal,16.0,Low,No,0.0,3.0,4306.7,1.52,98.0,0
0.51,20.0,POS,Clothing,Local,Desktop,14.0,High,Yes,0.0,4.0,184.1,0.01,103.0,0
17.53,12.0,Online,Electronics,Local,Mobile,6.0,Medium,Yes,0.0,2.0,4166.3,0.12,102.0,0
79.57,16.0,POS,Groceries,Local,Desktop,9.0,Low,Yes,0.0,5.0,3104.9,0.49,16.0,0
117.73,22.0,Online,Electronics,Domestic,Mobile,1.0,High,Yes,0.0,2.0,201.9,1.28,79.0,0
105.54,8.0,Online,Clothing,Local,Desktop,8.0,Medium,Yes,0.0,3.0,3010.2,0.75,233.0,0
25.39,16.0,POS,Travel,Domestic,Tablet,7.0,Low,Yes,0.0,1.0,2130.1,0.13,231.0,0
124.54,1.0,ATM,Others,Domestic,Mobile,14.0,Low,Yes,0.0,1.0,4205.6,0.69,42.0,0
27.08,18.0,Online,Electronics,Local,Mobile,8.0,Medium,Yes,0.0,3.0,4536.0,0.19,154.0,0
39.36,18.0,POS,Electronics,Domestic,Desktop,11.0,Low,No,0.0,4.0,1432.5,0.21,158.0,0
137.24,23.0,POS,Electronics,Local,Mobile,9.0,High,Yes,0.0,2.0,3920.9,0.77,2.0,0
104.88,6.0,POS,Luxury,Local,Mobile,19.0,High,No,0.0,4.0,1549.0,0.69,195.0,0
189.2,21.0,POS,Groceries,Local,Desktop,7.0,Low,Yes,0.0,5.0,1478.2,1.02,211.0,0
107.18,9.0,POS,Electronics,Domestic,POS_Terminal,6.0,Medium,Yes,0.0,4.0,963.2,0.64,184.0,0
84.0,9.0,Online,Travel,Local,Tablet,18.0,Medium,No,0.0,3.0,3392.4,0.76,152.0,0
9.84,19.0,ATM,Groceries,Domestic,Desktop,5.0,Low,Yes,0.0,1.0,1308.4,0.09,195.0,0
45.84,8.0,Online,Groceries,International,Desktop,19.0,Medium,No,0.0,3.0,2324.3,2.12,40.0,0
30.82,16.0,POS,Clothing,International,Mobile,11.0,Medium,No,0.0,3.0,4060.6,1.21,191.0,0
27.97,14.0,POS,Groceries,Local,Tablet,5.0,Medium,Yes,0.0,2.0,3959.6,0.18,197.0,0
361.23,1.0,POS,Electronics,Local,Desktop,9.0,Low,No,1.0,3.0,4277.2,3.01,59.0,0
49.94,3.0,POS,Electronics,Local,POS_Terminal,8.0,Medium,Yes,0.0,5.0,805.3,0.32,224.0,0
222.61,18.0,POS,Electronics,Domestic,POS_Terminal,11.0,Low,Yes,0.0,2.0,2934.5,1.17,61.0,0
99.73,16.0,Online,Groceries,International,Mobile,6.0,Low,No,0.0,2.0,4574.2,0.98,180.0,0
158.38,4.0,POS,Others,Domestic,POS_Terminal,15.0,Low,Yes,0.0,4.0,210.3,4.41,223.0,0
69.84,6.0,Online,Groceries,Local,POS_Terminal,6.0,Medium,No,0.0,3.0,3972.6,0.53,76.0,0
86.02,17.0,POS,Travel,Local,Desktop,11.0,Low,Yes,0.0,4.0,1231.2,2.27,235.0,0
67.83,20.0,ATM,Groceries,Domestic,Mobile,15.0,Low,Yes,0.0,4.0,3348.3,0.51,36.0,0
,21.0,Online,Electronics,Local,Tablet,12.0,Low,Yes,0.0,2.0,3587.0,0.19,228.0,0
128.18,6.0,Online,Groceries,Local,Mobile,9.0,High,,0.0,4.0,4627.9,0.86,31.0,0
32.96,16.0,POS,Groceries,Domestic,Desktop,10.0,Low,Yes,0.0,4.0,2544.0,0.4,225.0,0
